eta,grid,time,nonlinear_iterations
0.1,128,0.05268124057135682,9
0.1,128,0.05323473893080211,9
0.1,128,0.05379206023737081,9
0.1,128,0.05435383775563848,9
0.1,128,0.05492068401268686,9
0.1,128,0.05549318693521504,10
0.1,128,0.05607190426260925,10
0.1,128,0.0566573561382596,10
0.1,128,0.0572235013869019,10
0.1,128,0.05776187658334108,10
0.1,128,0.05827641510415216,10
0.1,128,0.05877099545797905,10
0.1,128,0.05924874141624596,10
0.1,128,0.05971217049691754,10
0.1,128,0.06016334349717387,10
0.1,128,0.06060397297303442,10
0.1,128,0.06103550155423319,10
0.1,128,0.06145915960331096,10
0.1,128,0.06187600851015591,10
0.1,128,0.0622869737884669,10
0.1,128,0.06269287080197558,11
0.1,128,0.0630944250891716,11
0.1,128,0.06349228869083877,11
0.1,128,0.06388705350453713,11
0.1,128,0.06427926242642307,11
0.1,128,0.06466941885099999,11
0.1,128,0.06505799495722402,11
0.1,128,0.06544543909952,11
0.1,128,0.06583218253681382,11
0.1,128,0.06621864566826542,11
0.1,128,0.06660524389949334,11
0.1,128,0.0669923932361856,11
0.1,128,0.06738051569060176,11
0.1,128,0.06777004458718182,11
0.1,128,0.06816142986263782,11
0.1,128,0.0685551434704047,11
0.1,128,0.06895168501716552,12
0.1,128,0.06935158777966162,12
0.1,128,0.0697554252737323,11
0.1,128,0.07016381857617841,11
0.1,128,0.07057744463626076,12
0.1,128,0.07099704586107718,12
0.1,128,0.07142344132261973,12
0.1,128,0.07183963559913019,12
0.1,128,0.07225105269975689,12
0.1,128,0.07266593000409423,12
0.1,128,0.07306620660743642,12
0.1,128,0.07345299731907791,11
0.1,128,0.07382832680424763,11
0.1,128,0.07419392194758384,11
0.1,128,0.07455121554390283,11
0.1,128,0.07490140984240524,11
0.1,128,0.07524552713787536,11
0.1,128,0.07558444777729877,11
0.1,128,0.07591893908413329,11
0.1,128,0.07624967776236673,11
0.1,128,0.07657726754989884,12
0.1,128,0.07690225336144642,12
0.1,128,0.07722513280744342,12
0.1,128,0.07754636573478224,12
0.1,128,0.07786638226877168,12
0.1,128,0.07818558971888782,12
0.1,128,0.07850437862806937,12
0.1,128,0.07882312818620933,11
0.1,128,0.07914221118632625,11
0.1,128,0.07946199867211173,11
0.1,128,0.07978286440508428,10
0.1,128,0.08010518926638883,10
0.1,128,0.08042927028584176,10
0.1,128,0.08075401858699546,10
0.1,128,0.08107976656832008,9
0.1,128,0.08140692868755593,9
0.1,128,0.08173593888022108,9
0.1,128,0.08206725247701552,9
0.1,128,0.08240135169512428,9
0.1,128,0.08273875180896592,9
0.1,128,0.08308000801402046,9
0.1,128,0.08342572316793018,9
0.1,128,0.08377655663891141,9
0.1,128,0.0841332345441284,9
0.1,128,0.08449018179376049,9
0.1,128,0.08484083184841544,9
0.1,128,0.08518575891978371,9
0.1,128,0.08552585633210107,9
0.1,128,0.08586193980864677,9
0.1,128,0.08619474340407368,9
0.1,128,0.08652493529170312,9
0.1,128,0.08685313183053364,9
0.1,128,0.08717990936822902,9
0.1,128,0.08750581429795576,9
0.1,128,0.08782951924283162,9
0.1,128,0.08814862659972056,9
0.1,128,0.08846368263691971,9
0.1,128,0.0887753214456263,9
0.1,128,0.08908304467109202,9
0.1,128,0.0893865858213181,9
0.1,128,0.08968649988227149,9
0.1,128,0.08998332665014222,9
0.1,128,0.09027755470540672,9
0.1,128,0.09056962986524553,9
0.1,128,0.09085996440233696,9
0.1,128,0.09114894495824453,9
0.1,128,0.09143693936955984,9
0.1,128,0.09172430267735265,9
0.1,128,0.09201138253876374,9
0.1,128,0.09229852421836816,9
0.1,128,0.09258607530828709,10
0.1,128,0.09287439030715278,10
0.1,128,0.09316383517689825,10
0.1,128,0.09345479199166688,10
0.1,128,0.09374766379423041,10
0.1,128,0.09404287978193733,10
0.1,128,0.09434090095660838,10
0.1,128,0.09464222639159539,10
0.1,128,0.09494740029556678,10
0.1,128,0.09525702008821946,10
0.1,128,0.09557174575057134,10
0.1,128,0.09588366381167833,10
0.1,128,0.09619276951660111,10
0.1,128,0.09649966367275396,10
0.1,128,0.09680493305518731,10
0.1,128,0.09710912668662654,10
0.1,128,0.09741276402794399,10
0.1,128,0.09771634363244049,10
0.1,128,0.09802035087883333,10
0.1,128,0.09832526499392637,10
0.1,128,0.0986315656125986,10
0.1,128,0.09893973909185959,11
0.1,128,0.09925028477493029,11
0.1,128,0.09956142863825064,11
0.1,128,0.09986568055851634,11
0.1,128,0.1,8
0.5,32,1e-06,2
0.5,32,2.1e-06,2
0.5,32,3.31e-06,2
0.5,32,4.641000000000001e-06,2
0.5,32,6.105100000000001e-06,2
0.5,32,7.715610000000002e-06,2
0.5,32,9.487171000000002e-06,2
0.5,32,1.14358881e-05,2
0.5,32,1.357947691e-05,2
