variant,eta_target,grid,trial,accepted_step_candidate,t_start,dt_try,t_trial,eta_measured,linear_iters,nonlinear_iters,final_residual_norm,solver_converged,violates_guard,accepted
aligned_guard_1p1,0.5,64,57,57,0.0020696505671840668,0.00020796505671840686,0.0022776156239024737,0.007035666581632686,4,4,1.1084103349384416e-06,True,False,True
aligned_guard_1p1,0.5,64,58,58,0.0022776156239024737,0.00022876156239024756,0.0025063771862927214,0.007785249307470391,4,4,1.6424386289806101e-06,True,False,True
aligned_guard_1p1,0.5,64,59,59,0.0025063771862927214,0.00025163771862927233,0.0027580149049219937,0.008619278446101764,5,5,1.949347838171019e-08,True,False,True
aligned_guard_1p1,0.5,64,60,60,0.0027580149049219937,0.0002768014904921996,0.0030348163954141932,0.00954812379048642,5,5,3.1848774556036714e-08,True,False,True
aligned_guard_1p1,0.5,64,61,61,0.0030348163954141932,0.0003044816395414196,0.0033392980349556127,0.010583570043557219,5,5,5.210905789556428e-08,True,False,True
aligned_guard_1p1,0.5,64,62,62,0.0033392980349556127,0.00033492980349556157,0.0036742278384511743,0.011739045736581303,5,5,8.539557537394956e-08,True,False,True
aligned_guard_1p1,0.5,64,63,63,0.0036742278384511743,0.00036842278384511775,0.004042650622296292,0.013029826039330386,5,5,1.401918215570745e-07,True,False,True
aligned_guard_1p1,0.5,64,64,64,0.004042650622296292,0.0004052650622296296,0.004447915684525921,0.014473332755547332,5,5,2.3059981980479215e-07,True,False,True
aligned_guard_1p1,0.5,64,65,65,0.004447915684525921,0.0004457915684525926,0.004893707252978514,0.016089451186017095,5,5,3.801230326042294e-07,True,False,True
aligned_guard_1p1,0.5,64,66,66,0.004893707252978514,0.0004903707252978519,0.005384077978276365,0.017900882439471,5,5,6.280877251028158e-07,True,False,True
aligned_guard_1p1,0.5,64,67,67,0.005384077978276365,0.0005394077978276372,0.005923485776104002,0.019933541852634903,5,5,1.0405219148748191e-06,True,False,True
aligned_guard_1p1,0.5,64,68,68,0.005923485776104002,0.000593348577610401,0.006516834353714403,0.02221699959924784,5,5,1.7287577552432594e-06,True,False,True
aligned_guard_1p1,0.5,64,69,69,0.006516834353714403,0.0006526834353714411,0.007169517789085845,0.024784959541619786,6,6,5.961721633406838e-08,True,False,True
aligned_guard_1p1,0.5,64,70,70,0.007169517789085845,0.0007179517789085853,0.00788746956799443,0.027675767178699268,6,6,1.0964346740439068e-07,True,False,True
aligned_guard_1p1,0.5,64,71,71,0.00788746956799443,0.0007897469567994438,0.008677216524793875,0.030932932022411395,6,6,2.0243112836440684e-07,True,False,True
aligned_guard_1p1,0.5,64,72,72,0.008677216524793875,0.0008687216524793883,0.009545938177273262,0.03460563766732858,6,6,3.7533397860521694e-07,True,False,True
aligned_guard_1p1,0.5,64,73,73,0.009545938177273262,0.0009555938177273272,0.01050153199500059,0.0387492021008275,6,6,6.992010003654836e-07,True,False,True
aligned_guard_1p1,0.5,64,74,74,0.01050153199500059,0.00105115319950006,0.01155268519450065,0.043425433428529024,6,6,1.309295592813026e-06,True,False,True
aligned_guard_1p1,0.5,64,75,75,0.01155268519450065,0.001156268519450066,0.012708953713950717,0.048702807501770945,7,7,9.016599231736043e-08,True,False,True
aligned_guard_1p1,0.5,64,76,76,0.012708953713950717,0.0012718953713950728,0.01398084908534579,0.05465637250206998,7,7,1.8789711389255424e-07,True,False,True
aligned_guard_1p1,0.5,64,77,77,0.01398084908534579,0.0013990849085345801,0.015379933993880369,0.06136726798269251,7,7,3.9429071249269154e-07,True,False,True
aligned_guard_1p1,0.5,64,78,78,0.015379933993880369,0.0015389933993880383,0.016918927393268408,0.06892173084174932,7,7,8.337545951138295e-07,True,False,True
aligned_guard_1p1,0.5,64,79,79,0.016918927393268408,0.0016928927393268422,0.01861182013259525,0.07740946554992818,7,7,1.7779340382449354e-06,True,False,True
aligned_guard_1p1,0.5,64,80,80,0.01861182013259525,0.0018621820132595267,0.020474002145854774,0.08692128296920554,8,8,2.2492906398356513e-07,True,False,True
aligned_guard_1p1,0.5,64,81,81,0.020474002145854774,0.0020484002145854797,0.022522402360440254,0.09754597675770971,8,8,5.377670358240749e-07,True,False,True
