model,eta_target,grid,variant,trial,accepted_step_candidate,t_start,dt_try,t_trial,eta_measured,linear_iters,nonlinear_iters,final_residual_norm,solver_converged,violates_guard,accepted
M1,0.1,32,aligned_guard_1p1,224,224,0.5082119656178177,0.007649684141341951,0.5158616497591596,0.09760353897465039,5,5,1.738420341770547e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,225,225,0.5158616497591596,0.007837506940530843,0.5236991566996905,0.09744653232574049,5,5,1.7117621899644905e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,226,226,0.5236991566996905,0.00804287926258056,0.531742035962271,0.0972939940982933,5,5,1.7036540377393716e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,227,227,0.531742035962271,0.008266573221832248,0.5400086091841032,0.09714476356693354,5,5,1.73529113676944e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,228,228,0.5400086091841032,0.008509540729013677,0.5485181499131169,0.09834151647013446,5,5,1.8325311236050153e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,229,229,0.5485181499131169,0.008653050140423611,0.5571712000535405,0.10197830949662558,5,5,1.890622924076959e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,230,230,0.5571712000535405,0.008485186882520285,0.5656563869360608,0.10154898915001621,5,5,1.688575399573241e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,231,231,0.5656563869360608,0.00835575711146203,0.5740121440475229,0.10096584222827823,5,5,1.563894415023446e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,232,232,0.5740121440475229,0.008275825692188179,0.5822879697397111,0.10046315675573453,5,5,1.4939713920664348e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,233,233,0.5822879697397111,0.00823767235615537,0.5905256420958664,0.10003394323616388,5,5,1.454741376590167e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,234,234,0.5905256420958664,0.008234877172348956,0.5987605192682154,0.09966222490443484,5,5,1.4322727166850582e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,235,235,0.5987605192682154,0.008262786808387332,0.6070233060766027,0.09933569087548619,5,5,1.41828594451629e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,236,236,0.6070233060766027,0.008318044335891766,0.6153413504124945,0.09904510080628665,5,5,1.407704698124119e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,237,237,0.6153413504124945,0.00839823905289397,0.6237395894653884,0.09878338953450296,5,5,1.3969847303743299e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,238,238,0.6237395894653884,0.008501671275372307,0.6322412607407607,0.09854505122993797,5,5,1.3837504814620896e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,239,239,0.6322412607407607,0.008627192506638529,0.6408684532473993,0.09832572248414466,5,5,1.3661992473495654e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,240,240,0.6408684532473993,0.008774095209958607,0.6496425484573579,0.098121893473074,5,5,1.3438077823334464e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,241,241,0.6496425484573579,0.008942036175001392,0.6585845846323594,0.09793070316723988,5,5,1.3175357623798624e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,242,242,0.6585845846323594,0.009130983323718965,0.6677155679560783,0.09774979114779736,5,5,1.290583508971552e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,243,243,0.6677155679560783,0.009341179368775274,0.6770567473248537,0.09757718848905272,5,5,1.269826349627778e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,244,244,0.6770567473248537,0.009573117972981228,0.6866298652978349,0.09741123622586806,5,5,1.2667540979974783e-07,True,False,True
